		---PUNKTY---

	x			y
----------------------------------------------------
1.	0.0		0.0
2.	2.0		0.0
3.	4.0		0.0
4.	6.0		0.0
5.	8.0		0.0
6.	10.0		0.0
7.	0.0		2.0
8.	2.0		2.0
9.	4.0		2.0
10.	6.0		2.0
11.	8.0		2.0
12.	10.0		2.0
13.	0.0		4.0
14.	2.0		4.0
15.	4.0		4.0
16.	6.0		4.0
17.	8.0		4.0
18.	10.0		4.0
19.	0.0		6.0
20.	2.0		6.0
21.	4.0		6.0
22.	6.0		6.0
23.	8.0		6.0
24.	10.0		6.0
25.	0.0		8.0
26.	2.0		8.0
27.	4.0		8.0
28.	6.0		8.0
29.	8.0		8.0
30.	10.0		8.0
31.	0.0		10.0
32.	2.0		10.0
33.	4.0		10.0
34.	6.0		10.0
35.	8.0		10.0
36.	10.0		10.0
